cowcode,year,irtpers8,seirtpers8
70,1992,-1.321256,.6139747
70,1993,-1.321256,.6139747
70,1994,-1.321256,.6139747
70,1995,-1.321256,.6139747
70,1996,-1.321256,.6139747
70,1997,-1.321256,.6139747
70,1998,-1.321256,.6139747
70,1999,-1.321256,.6139747
70,2000,-1.321256,.6139747
90,1955,-.0690333,.4207486
90,1956,.1562153,.4185916
90,1957,.1562153,.4185916
90,1958,-1.321256,.6139747
90,1959,-.2695529,.4300676
90,1960,-.0690333,.4207486
90,1961,.2045223,.4190765
90,1962,.2045223,.4190765
90,1963,.2045223,.4190765
90,1964,-1.321256,.6139747
90,1965,-.7911742,.4967828
90,1966,-.5046793,.4521891
90,1967,-1.321256,.6139747
90,1968,-1.321256,.6139747
90,1969,-1.321256,.6139747
90,1970,-1.321256,.6139747
90,1971,-1.321256,.6139747
90,1972,-1.321256,.6139747
90,1973,-1.321256,.6139747
90,1974,-1.321256,.6139747
90,1975,-1.321256,.6139747
90,1976,-1.321256,.6139747
90,1977,-1.321256,.6139747
90,1978,-1.321256,.6139747
90,1979,-.5402253,.4566852
90,1980,-.5402253,.4566852
90,1981,-.5402253,.4566852
90,1982,-.5402253,.4566852
90,1983,-.2341247,.4278311
90,1984,-1.321256,.6139747
90,1985,-1.321256,.6139747
90,1986,-1.321256,.6139747
90,1987,-1.321256,.6139747
90,1988,-1.321256,.6139747
90,1989,-1.321256,.6139747
90,1990,-1.321256,.6139747
90,1991,-1.321256,.6139747
90,1992,-1.321256,.6139747
90,1993,-1.321256,.6139747
90,1994,-1.321256,.6139747
90,1995,-1.321256,.6139747
91,1946,.7507098,.4448389
91,1947,.7507098,.4448389
91,1948,.7507098,.4448389
91,1949,-.8920777,.5165605
91,1950,-.8920777,.5165605
91,1951,-.8920777,.5165605
91,1952,-.8920777,.5165605
91,1953,-.8920777,.5165605
91,1954,-.8920777,.5165605
91,1955,-.2695529,.4300676
91,1956,.4659254,.4267871
91,1964,-1.321256,.6139747
91,1965,-1.321256,.6139747
91,1966,-1.321256,.6139747
91,1967,-1.321256,.6139747
91,1968,-1.321256,.6139747
91,1969,-1.321256,.6139747
91,1970,-1.321256,.6139747
91,1971,-1.321256,.6139747
91,1973,-1.321256,.6139747
91,1974,-1.321256,.6139747
91,1975,-1.321256,.6139747
91,1976,-1.321256,.6139747
91,1977,-1.321256,.6139747
91,1978,-1.321256,.6139747
91,1979,-1.321256,.6139747
91,1980,-1.321256,.6139747
91,1981,-1.321256,.6139747
92,1946,-1.321256,.6139747
92,1947,-1.321256,.6139747
92,1948,-1.321256,.6139747
92,1949,-.5291486,.4552513
92,1950,-1.321256,.6139747
92,1951,-.4553805,.446461
92,1952,-.4553805,.446461
92,1953,-.4553805,.446461
92,1954,-.4553805,.446461
92,1955,-.4553805,.446461
92,1956,-.4553805,.446461
92,1957,-.7323238,.4861371
92,1958,-.7323238,.4861371
92,1959,-.7323238,.4861371
92,1960,-.7323238,.4861371
92,1961,-1.321256,.6139747
92,1962,-.1621767,.4240951
92,1963,-.4553805,.446461
92,1964,-.4553805,.446461
92,1965,-.4553805,.446461
92,1966,-.4553805,.446461
92,1967,-.4553805,.446461
92,1968,-.7323238,.4861371
92,1969,-.7323238,.4861371
92,1970,-.7323238,.4861371
92,1971,-.7323238,.4861371
92,1972,-.7323238,.4861371
92,1973,-.7323238,.4861371
92,1974,-.7323238,.4861371
92,1975,-.7323238,.4861371
92,1976,-.7323238,.4861371
92,1977,-.7323238,.4861371
92,1978,-.7323238,.4861371
92,1979,-.7323238,.4861371
92,1980,-.8920777,.5165605
92,1981,-.5291486,.4552513
92,1982,-.5291486,.4552513
92,1983,-1.321256,.6139747
92,1984,-1.321256,.6139747
92,1985,-1.321256,.6139747
92,1986,-1.321256,.6139747
92,1987,-1.321256,.6139747
92,1988,-1.321256,.6139747
92,1989,-1.321256,.6139747
92,1990,-1.321256,.6139747
92,1991,-1.321256,.6139747
92,1992,-1.321256,.6139747
92,1993,-1.321256,.6139747
92,1994,-1.321256,.6139747
93,1946,1.037515,.4736499
93,1947,1.037515,.4736499
93,1948,1.037515,.4736499
93,1949,1.037515,.4736499
93,1950,1.037515,.4736499
93,1951,1.037515,.4736499
93,1952,1.037515,.4736499
93,1953,1.037515,.4736499
93,1954,1.037515,.4736499
